"ID" "length" "ENSEMBL"
"1" "0610009B22Rik" 422 "ENSMUSG00000007777"
"2" "0610010F05Rik" 2137 "ENSMUSG00000042208"
"3" "0610010K14Rik" 570 "ENSMUSG00000020831"
"4" "0610030E20Rik" 497 "ENSMUSG00000058706"
"5" "0610030E20Rik" 497 "ENSMUSG00000108680"
"6" "0610040J01Rik" 940 "ENSMUSG00000060512"
"7" "1110002E22Rik" 5360 "ENSMUSG00000090066"
"8" "1110004F10Rik" 541 "ENSMUSG00000030663"
"9" "1110008P14Rik" 250 "ENSMUSG00000039195"
"10" "1110017D15Rik" 777 "ENSMUSG00000028441"
"11" "1110025L11Rik" 236 "ENSMUSG00000068073"
"12" "1110032A03Rik" 545 "ENSMUSG00000037971"
"13" "1110032F04Rik" 743 "ENSMUSG00000046999"
"14" "1110038F14Rik" 664 "ENSMUSG00000063236"
"15" "1110051M20Rik" 987 "ENSMUSG00000040591"
"16" "1110059E24Rik" 464 "ENSMUSG00000035171"
"17" "1110059G10Rik" 465 "ENSMUSG00000032551"
"18" "1110065P20Rik" 330 "ENSMUSG00000078570"
"19" "1190005I06Rik" 332 "ENSMUSG00000043687"
"20" "1190007I07Rik" 202 "ENSMUSG00000063320"
"21" "1300017J02Rik" 2086 "ENSMUSG00000033688"
"22" "1500009L16Rik" 187 "ENSMUSG00000087651"
"23" "1600012H06Rik" 557 "ENSMUSG00000050088"
"24" "1600014C23Rik" 304 "ENSMUSG00000094690"
"25" "1700001C19Rik" 629 "ENSMUSG00000047150"
"26" "1700001C19Rik" 629 "ENSMUSG00000116001"
"27" "1700001F09Rik" 550 "ENSMUSG00000095384"
"28" "1700001J03Rik" 655 "ENSMUSG00000095040"
"29" "1700001K19Rik" 656 "ENSMUSG00000056508"
"30" "1700001L19Rik" 546 "ENSMUSG00000021534"
"31" "1700001O22Rik" 1121 "ENSMUSG00000044320"
"32" "1700001P01Rik" 465 "ENSMUSG00000018543"
"33" "1700003E16Rik" 1793 "ENSMUSG00000030030"
"34" "1700003F12Rik" 591 "ENSMUSG00000038523"
"35" "1700003H04Rik" 297 "ENSMUSG00000039174"
