Gene	Length
4933401J01Rik	1070
Gm26206	110
Xkr4	6094
Gm18956	480
Gm37180	2819
Gm37363	2233
Gm37686	2309
Gm1992	250
Gm37329	2057
Gm7341	926
Gm38148	3012
Gm19938	3259
Gm10568	1634
Gm38385	2351
Gm27396	58
Gm37381	1364
Rp1	12311
Gm6101	1867
Gm37483	1484
Sox17	4772
Gm37587	2917
Gm7357	2991
Gm22307	107
Gm38076	450
Gm37323	2773
Gm7369	936
Gm6085	1470
Gm6119	1206
Gm25493	103
Gm2053	631
Gm6123	1069
Mrpl15	8487
Gm37144	1150
Lypla1	7145
Gm37988	825
Tcea1	3017
Gm6104	603
Gm37277	1111
Rgs20	4239
Gm17100	272
Gm37079	2135
Gm16041	3725
Gm17101	1588
Atp6v1h	9746
Gm7182	732
Gm37567	2279
Gm38264	2032
Oprk1	9151
Gm36965	394
Gm22463	101
Gm37429	1799
Npbwr1	3692
Gm19214	1083
Rb1cc1	14690
4732440D04Rik	5428
Alkal1	971
Gm2147	639
Gm7417	473
Gm19026	4530
St18	6464
Gm42492	2915
Gm7449	663
Gm37108	626
Gm37275	30
Gm37225	325
Gm37489	159
Gm5694	641
Pcmtd1	6654
Gm26983	388
Gm38372	4028
Gm9826	1299
Nras-ps2	178
Gm23274	130
Gm19002	1012
Gm26901	4339
Gm18984	1124
Gm30414	2596
Gm37791	286
Gm7470	2095
Rps2-ps2	881
Gm38216	1214
Sntg1	10908
Gm38024	2532
Gm16284	400
Gm38259	3534
Gm23358	110
Gm37005	1164
Gm15452	240
Gm36964	198
Gm24276	110
Gm6152	340
Gm7445	340
Gm7493	626
Gm37629	1050
Gm38008	518
Gm37143	3259
Gm6187	960
Gm18299	636
Gm7512	1170
Gm24765	103
Gm18300	1406
Rrs1	2048
Adhfe1	3780
2610203C22Rik	4910
Gm6161	1102
Vxn	3256
Gm29520	1067
Mybl1	5402
Vcpip1	9749
1700034P13Rik	3101
Sgk3	14311
Gm6195	357
Gm22607	105
Mcmdc2	5916
Snhg6	1146
Snord87	87
Tcf24	4193
E330040D14Rik	1374
Ppp1r42	1523
Gm15818	656
Gm24674	104
Cops5	3766
Cspp1	17553
1700047N06Rik	920
Arfgef1	11318
Gm26348	240
Gm37569	1722
Cpa6	6840
Gm38005	2745
Gm15604	1456
Gm25253	107
Gm15603	492
Gm37133	1922
Gm5522	1242
Gm28659	759
Gm22963	91
Prex2	16609
Gm24173	128
Gm28686	609
Gm37410	3039
A830018L16Rik	9183
Gm38178	2471
Gm29273	262
Gm38069	2144
Gm7560	873
Gm22633	107
